brand,title,type,price,sold,type_cleaned
Louis Vuitton,Louis Vuitton Meteore Eau de Parfum Sample Spray - 2ml/0.06oz,eau de parfum,18.95,624.0,Eau de Parfum
Avon,Avon FULLSPEED / RPM Eau de Toilette  Spray 2.5 fl.oz / 75 ml,eau de toilette,19.99,26.0,Eau de Toilette
Versace,Versace Dylan Blue Pour Homme EDT For Men  3.4 oz / 100 ml *NEW*,eau de toilette,45.99,37.0,Eau de Toilette
Paco Rabanne,Invictus Victory Elixir by Paco Rabanne 3.4oz Parfum Intense NEW TESTER NO BOX,parfum intense,86.99,28.0,Eau de Parfum
Versace,Versace Men's L'Homme EDT Spray 3.4 oz (Tester) Fragrances 8011003996735,eau de toilette,19.73,7.0,Eau de Toilette
Unbranded,Love Bombed Pheromone Cologne for- Men Enhanced Scents Pheromone Perfume,perfume,13.28,6.0,Perfume
Cologne,Lane Frost Frosted Cologne,eau de cologne,35.0,8.0,Cologne
Unbranded,SEALED NEW CUPID HYPNOSIS MEN’S PHEROMONE COLOGNE 1.7 OZ | MEET MORE HOT WOMEN,perfume,16.99,84.0,Perfume
Parfums de Marly,GREENLEY by Parfums de Marly - 10ML Travel Sample Spray - Fresh Green PDM!!!,eau de parfum,34.99,19.0,Eau de Parfum
Jaguar,Jaguar Men's Jaguar Oud EDT Spray 3.38 oz (Tester) Fragrances 7640171193212,fragrances,13.15,7.0,Other
Paco Rabanne,Invictus Platinum by Paco Rabanne 3.4 oz Eau de Parfum Spray for Men. New NO BOX,eau de parfum,64.99,118.0,Eau de Parfum
CHANEL,Chanel Bleu De Chanel Parfum (0.05 Oz / 1.5 ML) Sample Spray *New/Carded*,parfum,11.5,12.0,Eau de Parfum
Burberry,Burberry Weekend 3.3oz Men's Eau de Toilette,eau de toilette,28.99,7.0,Eau de Toilette
Fragrance Couture,Perfume for Men's Valentine Milano Cologne 3.4 Fl.oz EDT Best Gift Fast Shipping,eau de toilette,14.98,206.0,Eau de Toilette
Creed,Virgin Island Water by Creed 2ml Vial Spray New Factory Sealed,eau de parfum,13.0,17.0,Eau de Parfum
Creed,Aventus Cologne for Men by Creed 2ml Vial Spray New Factory Sealed,eau de parfum,11.99,39.0,Eau de Parfum
Paco Rabanne,Paco Rabanne Invictus Legend 100ml / 3.4 oz (Tester) Eau De Parfum Spray for Men,eau de parfum,104.99,38.0,Eau de Parfum
Dolce & Gabbana,"The One by Dolce & Gabbana, 5 oz EDP Spray for Men",eau de parfum,75.95,3.0,Eau de Parfum
Armaf,Le Parfait Pour Homme by Armaf Cologne For Men EDP 3.3 / 3.4 oz New in Box,eau de parfum,19.41,501.0,Eau de Parfum
Mancera,MANCERA COSMIC PEPPER EDP 2.0ml .06fl oz x 1 COLOGNE SPRAY SAMPLE,eau de parfum,13.5,17.0,Eau de Parfum
Giorgio Armani,Armani Aqua Di Gio 3.4 oz EDT Iconic Men's Fragrance Sealed New in Box,eau de toilette,29.99,141.0,Eau de Toilette
Polo Ralph Lauren,Polo Green by Ralph Lauren 4 Fl oz Eau De Toilette Spray New & Sealed.,eau de toilette,38.99,41.0,Eau de Toilette
Giorgio Armani,Giorgio Armani Acqua Di Gio 6.7oz  200ml Men's Eau de Toilette Spray Brand New,eau de toilette,46.99,15.0,Eau de Toilette
Hermes,mini Terre D'Hermes by Hermes 0.17 oz EDT Cologne for Men Brand New In Box,eau de toilette,14.98,418.0,Eau de Toilette
Abercrombie & Fitch,Abercrombie & Fitch Fierce 6.7 oz / 200 ml Eau de Cologne Spray New & Sealed,eau de cologne,44.99,129.0,Cologne
Yves Saint Laurent,YSL YVES SAINT LAURENT Y PARFUM L ELIXIR SAMPLE SPRAY 0.04 FL OZ / 1.2 ML,eau de parfum,9.89,6.0,Eau de Parfum
Gucci,GUCCI GUILTY ELIXIR DE PARFUM POUR HOMME 0.05 oz (3 Carded Spray Vials for MEN),elixir de parfum,15.99,196.0,Eau de Parfum
Hugo Boss,Boss Bottled Parfum by Hugo Boss cologne for men 3.3 / 3.4 oz New in Box,eau de perfume,65.37,87.0,Eau de Parfum
Valentino,Valentino Uomo Cologne by Valentino 3.4oz EDT Eau de Toilette for Men New in Box,eau de toilette,59.99,3.0,Eau de Toilette
LLURE SX,LLURE SX HUMAN PHERAMONES #1 FRAGRANCE FOR MEN TO ATTRACT BEAUTIFUL WOMEN,cologne,38.95,114.0,Cologne
Jacques Bogart,ONE MAN SHOW HIGHLY CONCENTRATED by Jacques Bogart Cologne 3.3 / 3.4 oz NEW IN B,eau de toilette,13.97,957.0,Eau de Toilette
Dolce&Gabbana,Dolce & Gabbana The One Luminous Night 3.3/3.4 oz Eau De Parfum 100 ml Spray Men,eau de parfum,239.99,14.0,Eau de Parfum
Gucci,Gucci Guilty Pour Homme EDT for Men 3.0 oz / 90 ml *NEW*,eau de toilette,53.99,3.0,Eau de Toilette
Ralph Lauren,Ralph Lauren Polo Earth Spray - Eau De Toilette (EDT) - 1.36 fl oz - New,eau de toilette,29.99,8.0,Eau de Toilette
Tommy Hilfiger,TOMMY HILFIGER IMPACT INTENSE Cologne for Men 3.4 oz 100 ml Eau de Parfum Spray,eau de parfum,44.95,75.0,Eau de Parfum
Giorgio Armani,Armani Code Profumo 3.7 oz Intense Masculine EDP Sealed,eau de parfum,79.99,47.0,Eau de Parfum
Unbranded,VERSE ADONIS RED For Men Eau de Parfum 3.4oz,eau de parfum,13.99,8.0,Eau de Parfum
Cologne,10 Men's Cologne Sample vials with Organza Bag Travel Size,eau de toilette,25.46,410.0,Eau de Toilette
Moschino,"USA MOSCHINO Toy Boy Eau De Parfume Spray for Men, 3.4 fl oz NEW , in BOX",eau de parfum,35.99,3.0,Eau de Parfum
Dolce & Gabbana,D&G DOLCE & GABBANA THE ONE FOR MEN EDP INTENSE .8ml .02oz x 1 COLOGNE SAMPLE,eau de parfum intense,7.5,115.0,Eau de Parfum
Yves Saint Laurent,Yves Saint Laurent YSL Y Elixir PARFUM CONCENTRE 2oz. 2024 New Release! SEALED,eau de parfum,129.0,13.0,Eau de Parfum
As Show,YSL Yves Saint Laurent Y Eau de Toilette 3.3OZ EDT Cologne Spray For Mens New,eau de toilette,47.99,16.0,Eau de Toilette
Carolina Herrera,212 VIP by Carolina Herrera * Cologne for Men * 3.4 oz * BRAND NEW IN BOX,eau de toilette,59.43,3691.0,Eau de Toilette
Dolce & Gabbana,4 Dolce & Gabbana The One Luminous Night EDP Exclusive Edition sample 0.8ml New,eau de parfum,14.95,79.0,Eau de Parfum
